Datetime,Open,High,Low,Close,Volume
2025-11-24 14:54:00+00:00,273.65,273.7953,273.53,273.5425,70768
2025-11-24 14:55:00+00:00,273.53,273.68,273.35,273.53,114719
2025-11-24 14:56:00+00:00,273.56,273.61,273.1,273.145,116531
2025-11-24 14:57:00+00:00,273.155,273.28,273.01,273.075,128073
2025-11-24 14:58:00+00:00,273.075,273.32,272.95,273.0,149324
2025-11-24 14:59:00+00:00,272.97,273.6718,272.76,273.505,334675
2025-11-24 15:00:00+00:00,273.48,273.8,273.27,273.37,302570
2025-11-24 15:01:00+00:00,273.4,273.51,273.2,273.45,60753
2025-11-24 15:02:00+00:00,273.4705,273.75,273.28,273.3114,92242
2025-11-24 15:03:00+00:00,273.31,273.33,273.065,273.13,74807
2025-11-24 15:04:00+00:00,273.155,273.28,272.97,273.11,90861
2025-11-24 15:05:00+00:00,273.115,273.26,272.92,272.9899,85270
2025-11-24 15:06:00+00:00,273.0,273.23,272.72,272.7352,66671
2025-11-24 15:07:00+00:00,272.76,272.8,272.36,272.52,105718
2025-11-24 15:08:00+00:00,272.5113,272.61,272.35,272.6078,97173
2025-11-24 15:09:00+00:00,272.62,272.74,272.4621,272.58,110024
2025-11-24 15:10:00+00:00,272.56,272.8,272.52,272.7,72948
2025-11-24 15:11:00+00:00,272.71,272.8314,272.4,272.819,94585
2025-11-24 15:12:00+00:00,272.79,273.18,272.72,273.12,118528
2025-11-24 15:13:00+00:00,273.125,273.46,272.97,273.41,183940
2025-11-24 15:14:00+00:00,273.425,273.82,273.37,273.77,142496
2025-11-24 15:15:00+00:00,273.7699,273.84,273.4795,273.49,98156
2025-11-24 15:16:00+00:00,273.47,273.4999,273.22,273.43,66191
2025-11-24 15:17:00+00:00,273.44,273.57,273.36,273.475,86583
2025-11-24 15:18:00+00:00,273.49,273.52,273.0,273.005,84777
2025-11-24 15:19:00+00:00,273.005,273.025,272.72,272.7531,83373
2025-11-24 15:20:00+00:00,272.72,273.0,272.68,272.855,105295
2025-11-24 15:21:00+00:00,272.88,273.2067,272.82,272.9,78575
2025-11-24 15:22:00+00:00,272.915,273.01,272.6901,273.01,553446
2025-11-24 15:23:00+00:00,273.03,273.085,272.89,272.99,43069
2025-11-24 15:24:00+00:00,272.96,273.1324,272.86,273.12,54205
2025-11-24 15:25:00+00:00,273.1,273.19,272.81,273.15,84176
2025-11-24 15:26:00+00:00,273.1133,273.19,273.0,273.17,108891
2025-11-24 15:27:00+00:00,273.07,273.4542,273.07,273.2904,63649
2025-11-24 15:28:00+00:00,273.29,273.3,273.1,273.12,45112
2025-11-24 15:29:00+00:00,273.1399,273.15,272.8804,273.095,73514
2025-11-24 15:30:00+00:00,273.08,273.13,272.65,272.7609,70135
2025-11-24 15:31:00+00:00,272.76,272.945,272.7,272.8558,74472
2025-11-24 15:32:00+00:00,272.86,273.0286,272.8,272.925,45178
2025-11-24 15:33:00+00:00,272.94,273.1,272.86,272.9999,77765
2025-11-24 15:34:00+00:00,272.98,273.36,272.98,273.36,54941
2025-11-24 15:35:00+00:00,273.37,273.5999,273.23,273.49,88377
2025-11-24 15:36:00+00:00,273.49,273.59,273.44,273.525,94113
2025-11-24 15:37:00+00:00,273.54,273.5444,273.24,273.24,70161
2025-11-24 15:38:00+00:00,273.23,273.31,273.11,273.195,70984
2025-11-24 15:39:00+00:00,273.21,273.4479,273.19,273.36,53204
2025-11-24 15:40:00+00:00,273.4,273.5,273.29,273.4,44817
2025-11-24 15:41:00+00:00,273.39,273.8788,273.36,273.67,159325
2025-11-24 15:42:00+00:00,273.645,273.98,273.63,273.93,102549
2025-11-24 15:43:00+00:00,273.955,274.0116,273.82,273.86,71040
2025-11-24 15:44:00+00:00,273.84,273.86,273.56,273.68,57655
2025-11-24 15:45:00+00:00,273.69,273.93,273.6741,273.8701,62236
2025-11-24 15:46:00+00:00,273.8944,273.95,273.72,273.77,63877
2025-11-24 15:47:00+00:00,273.76,273.85,273.7282,273.75,40631
2025-11-24 15:48:00+00:00,273.73,273.74,273.5,273.57,165190
2025-11-24 15:49:00+00:00,273.59,274.16,273.57,274.07,133998
2025-11-24 15:50:00+00:00,274.075,274.12,273.97,273.985,75236
2025-11-24 15:51:00+00:00,273.985,274.23,273.985,274.2,213597
2025-11-24 15:52:00+00:00,274.18,274.27,273.72,273.8358,101300
2025-11-24 15:53:00+00:00,273.85,273.91,273.7,273.82,65233
2025-11-24 15:54:00+00:00,273.8,273.99,273.75,273.965,44583
2025-11-24 15:55:00+00:00,273.96,273.96,273.725,273.74,119665
2025-11-24 15:56:00+00:00,273.73,274.05,273.72,273.9864,56762
2025-11-24 15:57:00+00:00,273.97,273.98,273.75,273.83,98209
2025-11-24 15:58:00+00:00,273.85,273.85,273.71,273.82,77685
2025-11-24 15:59:00+00:00,273.83,273.99,273.77,273.79,48933
2025-11-24 16:00:00+00:00,273.8,273.92,273.78,273.78,63634
2025-11-24 16:01:00+00:00,273.78,274.09,273.75,274.04,128891
2025-11-24 16:02:00+00:00,274.05,274.22,274.005,274.2,61092
2025-11-24 16:03:00+00:00,274.2154,274.29,274.1,274.29,64894
2025-11-24 16:04:00+00:00,274.285,274.48,274.24,274.42,71741
2025-11-24 16:05:00+00:00,274.43,274.43,274.32,274.3881,46915
2025-11-24 16:06:00+00:00,274.4,274.68,274.4,274.64,84660
2025-11-24 16:07:00+00:00,274.645,274.945,274.62,274.935,258599
2025-11-24 16:08:00+00:00,274.935,275.11,274.93,275.0363,322801
2025-11-24 16:09:00+00:00,275.045,275.075,274.94,275.0,72921
2025-11-24 16:10:00+00:00,275.0,275.08,274.85,274.945,130240
2025-11-24 16:11:00+00:00,274.93,275.0999,274.86,275.05,95079
2025-11-24 16:12:00+00:00,275.05,275.22,275.04,275.09,88680
2025-11-24 16:13:00+00:00,275.06,275.15,274.99,275.05,86441
2025-11-24 16:14:00+00:00,275.04,275.1,274.96,275.085,153516
2025-11-24 16:15:00+00:00,275.1,275.19,275.02,275.11,82077
2025-11-24 16:16:00+00:00,275.1,275.135,274.99,275.07,66174
2025-11-24 16:17:00+00:00,275.065,275.24,275.03,275.103,98699
2025-11-24 16:18:00+00:00,275.11,275.38,275.11,275.38,82679
2025-11-24 16:19:00+00:00,275.37,275.3896,275.065,275.09,75835
2025-11-24 16:20:00+00:00,275.091,275.17,274.99,275.07,75362
2025-11-24 16:21:00+00:00,275.08,275.19,275.0252,275.12,60175
2025-11-24 16:22:00+00:00,275.12,275.2735,275.11,275.2735,59300
2025-11-24 16:23:00+00:00,275.28,275.31,275.14,275.265,128250
2025-11-24 16:24:00+00:00,275.25,275.33,275.09,275.09,68653
2025-11-24 16:25:00+00:00,275.09,275.17,275.0307,275.04,118066
2025-11-24 16:26:00+00:00,275.0302,275.1,274.995,275.03,93557
2025-11-24 16:27:00+00:00,275.02,275.1,275.009,275.02,59300
2025-11-24 16:28:00+00:00,275.01,275.02,274.89,274.99,122866
2025-11-24 16:29:00+00:00,275.0,275.061,274.9,275.0,133125
2025-11-24 16:30:00+00:00,274.99,275.065,274.88,275.03,87822
2025-11-24 16:31:00+00:00,275.0307,275.08,274.9239,274.94,89435
2025-11-24 16:32:00+00:00,274.937,275.06,274.89,275.04,83893
2025-11-24 16:33:00+00:00,275.0452,275.17,274.98,275.122,74058
2025-11-24 16:34:00+00:00,275.15,275.17,275.05,275.15,64027
2025-11-24 16:35:00+00:00,275.14,275.17,275.095,275.15,66245
2025-11-24 16:36:00+00:00,275.15,275.27,275.11,275.23,119987
2025-11-24 16:37:00+00:00,275.24,275.24,275.13,275.18,56459
2025-11-24 16:38:00+00:00,275.19,275.27,274.96,274.96,77927
2025-11-24 16:39:00+00:00,274.95,275.06,274.91,275.06,65541
2025-11-24 16:40:00+00:00,275.07,275.0999,274.86,274.94,131601
2025-11-24 16:41:00+00:00,274.935,275.13,274.88,274.965,103132
2025-11-24 16:42:00+00:00,274.95,275.05,274.9,274.975,79614
2025-11-24 16:43:00+00:00,274.975,275.021,274.9,274.92,49617
2025-11-24 16:44:00+00:00,274.93,275.015,274.89,274.92,63959
2025-11-24 16:45:00+00:00,274.91,275.07,274.71,275.02,98624
2025-11-24 16:46:00+00:00,275.06,275.06,274.97,275.02,55129
2025-11-24 16:47:00+00:00,275.015,275.06,274.97,274.98,55275
2025-11-24 16:48:00+00:00,274.99,275.05,274.98,275.0136,44742
2025-11-24 16:49:00+00:00,275.015,275.17,274.96,275.03,143864
2025-11-24 16:50:00+00:00,274.995,274.995,274.7371,274.7371,93429
2025-11-24 16:51:00+00:00,274.7318,274.74,274.45,274.47,119046
2025-11-24 16:52:00+00:00,274.4672,274.82,274.43,274.75,82743
2025-11-24 16:53:00+00:00,274.78,274.86,274.7501,274.82,30397
2025-11-24 16:54:00+00:00,274.84,274.8783,274.7301,274.85,53277
2025-11-24 16:55:00+00:00,274.84,274.855,274.74,274.76,41485
2025-11-24 16:56:00+00:00,274.75,275.0,274.75,274.94,74101
2025-11-24 16:57:00+00:00,274.935,274.935,274.82,274.84,37051
2025-11-24 16:58:00+00:00,274.83,274.9199,274.74,274.885,67340
