Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 01:07:00+00:00,102939.4453125,102939.4453125,102939.4453125,102939.4453125,114769920
2025-11-12 01:08:00+00:00,102953.0703125,102953.0703125,102953.0703125,102953.0703125,0
2025-11-12 01:09:00+00:00,102972.921875,102972.921875,102972.921875,102972.921875,144605184
2025-11-12 01:10:00+00:00,103039.203125,103039.203125,103039.203125,103039.203125,203333632
2025-11-12 01:11:00+00:00,103056.359375,103056.359375,103056.359375,103056.359375,129884160
2025-11-12 01:12:00+00:00,103047.9140625,103047.9140625,103047.9140625,103047.9140625,0
2025-11-12 01:13:00+00:00,103034.84375,103034.84375,103034.84375,103034.84375,0
2025-11-12 01:14:00+00:00,103105.5859375,103105.5859375,103105.5859375,103105.5859375,0
2025-11-12 01:15:00+00:00,103120.5859375,103120.5859375,103120.5859375,103120.5859375,160014336
2025-11-12 01:16:00+00:00,103178.4765625,103178.4765625,103178.4765625,103178.4765625,932331520
2025-11-12 01:17:00+00:00,103151.9140625,103151.9140625,103151.9140625,103151.9140625,0
2025-11-12 01:18:00+00:00,103193.1328125,103193.1328125,103193.1328125,103193.1328125,3915776
2025-11-12 01:19:00+00:00,103216.9765625,103216.9765625,103216.9765625,103216.9765625,0
2025-11-12 01:20:00+00:00,103203.109375,103203.109375,103203.109375,103203.109375,76062720
2025-11-12 01:21:00+00:00,103184.421875,103184.421875,103184.421875,103184.421875,61636608
2025-11-12 01:22:00+00:00,103150.515625,103150.515625,103150.515625,103150.515625,0
2025-11-12 01:23:00+00:00,103172.03125,103172.03125,103172.03125,103172.03125,0
2025-11-12 01:24:00+00:00,103129.2890625,103129.2890625,103129.2890625,103129.2890625,0
2025-11-12 01:25:00+00:00,103034.9453125,103034.9453125,103034.9453125,103034.9453125,0
2025-11-12 01:26:00+00:00,103028.5,103028.5,103028.5,103028.5,546533376
2025-11-12 01:27:00+00:00,103005.46875,103005.46875,103005.46875,103005.46875,0
2025-11-12 01:28:00+00:00,103099.1640625,103099.1640625,103099.1640625,103099.1640625,680837120
2025-11-12 01:29:00+00:00,103106.515625,103106.515625,103106.515625,103106.515625,0
